Nazwa utworu;Artysta;L. Artystow;Rok wydania;Miesiac wydania;Dzien wydania;W ilu playlistach;L. odtworzen;bpm
Bound 2;Kanye West;1;2013;1;1;19806;703;149
After Hours;The Weeknd;1;2020;2;19;8084;698;109
After Hours;The Weeknd;1;2020;2;19;8084;698;109
First Class;Jack Harlow;1;2022;4;8;8737;695;107
Snowman;Sia;1;2017;1;1;5140;690;105
Snowman;Sia;1;2017;1;1;5140;690;105
Lost in the Fire;The Weeknd, Gesaffelstein;2;2019;1;11;7731;687;101
Lost in the Fire;The Weeknd, Gesaffelstein;2;2019;1;11;7731;687;101
A Tu Merced;Bad Bunny;1;2020;2;29;4214;685;92
Don???t Bl;Taylor Swift;1;2017;11;8;4875;685;136
Reminder;The Weeknd;1;2016;11;25;6518;685;160
Don???t Bl;Taylor Swift;1;2017;11;8;4875;685;136
Reminder;The Weeknd;1;2016;11;25;6518;685;160
Romantic Homicide;d4vd;1;2022;7;20;2335;682;132
Romantic Homicide;d4vd;1;2022;7;20;2335;682;132
Una Noche en Medell?;Cris Mj;1;2022;1;21;5415;682;96
Cool for the Summer;Demi Lovato;1;2015;1;1;9243;677;114
Forgot About Dre;Eminem, Dr. Dre;2;1999;1;1;19067;675;134
Do It To It;Cherish, ACRAZE;2;2021;8;20;12403;675;125
Do It To It;Cherish, ACRAZE;2;2021;8;20;12403;675;125
Hey Mor;Ozuna, Feid;2;2022;10;6;4637;674;98
Hey Mor;Ozuna, Feid;2;2022;10;6;4637;674;98
Volv?;Aventura, Bad Bunny;2;2021;8;3;5375;674;176
Volv?;Aventura, Bad Bunny;2;2021;8;3;5375;674;176
You Right;Doja Cat, The Weeknd;2;2021;6;24;5073;673;129
You Right;Doja Cat, The Weeknd;2;2021;6;24;5073;673;129
Neverita;Bad Bunny;1;2022;5;6;2590;671;122
Neverita;Bad Bunny;1;2022;5;6;2590;671;122
jealousy, jealousy;Olivia Rodrigo;1;2021;5;21;3257;666;164
It s the Most Wonderful Time of the Year;Andy Williams;1;1963;10;14;8879;664;202
It s the Most Wonderful Time of the Year;Andy Williams;1;1963;10;14;8879;664;202
Gasolina;Daddy Yankee;1;2004;7;13;6457;658;96
Gasolina;Daddy Yankee;1;2004;7;13;6457;658;96
The Motto;Ti??sto, Ava;2;2021;11;4;9151;656;118
The Motto;Ti??sto, Ava;2;2021;11;4;9151;656;118
Superman;Eminem, Dina Rae;2;2002;5;26;7615;655;130
Superman;Eminem, Dina Rae;2;2002;5;26;7615;655;130
Sunroof;Nicky Youre, Dazy;2;2021;12;3;3741;653;131
Sunroof;Nicky Youre, Dazy;2;2021;12;3;3741;653;131
Leave Before You Love Me (with Jonas Brothers);Marshmello, Jonas Brothers;2;2021;4;28;4893;652;120
After Dark;Mr.Kitty;1;2014;8;8;1776;647;140
After Dark;Mr.Kitty;1;2014;8;8;1776;647;140
Here With Me;d4vd;1;2022;7;17;3246;635;132
Here With Me;d4vd;1;2022;7;17;3246;635;132
Mistletoe;Justin Bieber;1;2011;1;1;9577;629;162
Mistletoe;Justin Bieber;1;2011;1;1;9577;629;162
2055;Sleepy hallow;1;2021;4;14;2226;625;161
Sparks;Coldplay;1;2000;7;10;10826;624;103
Enchanted;Taylor Swift;1;2010;1;1;4564;622;164
Enchanted;Taylor Swift;1;2010;1;1;4564;622;164
Jimmy Cooks (feat. 21 Savage);Drake, 21 Savage;2;2022;6;17;5871;619;163
TQG;Karol G, Shakira;2;2023;2;23;4284;619;180
Jimmy Cooks (feat. 21 Savage);Drake, 21 Savage;2;2022;6;17;5871;619;163
TQG;Karol G, Shakira;2;2023;2;23;4284;619;180
Party;Bad Bunny, Rauw Alejandro;2;2022;5;6;3185;615;97
Party;Bad Bunny, Rauw Alejandro;2;2022;5;6;3185;615;97
Moth To A Flame (with The Weeknd);The Weeknd, Swedish House Mafia;2;2021;10;22;7495;612;120
Stargirl Interlude;The Weeknd, Lana Del Rey;2;2016;11;24;1275;612;90
Moth To A Flame (with The Weeknd);The Weeknd, Swedish House Mafia;2;2021;10;22;7495;612;120
Stargirl Interlude;The Weeknd, Lana Del Rey;2;2016;11;24;1275;612;90
Volando - Remix;Sech, Bad Bunny, Mora;3;2021;7;8;3272;610;154
Volando - Remix;Sech, Bad Bunny, Mora;3;2021;7;8;3272;610;154
I Like You (A Happier Song) (with Doja Cat);Post Malone, Doja Cat;2;2022;6;3;5281;609;101
I Like You (A Happier Song) (with Doja Cat);Post Malone, Doja Cat;2;2022;6;3;5281;609;101
Tarot;Bad Bunny, Jhay Cortez;2;2022;5;6;2482;608;114
Tarot;Bad Bunny, Jhay Cortez;2;2022;5;6;2482;608;114
Permission to Dance;BTS;1;2021;7;9;1801;608;125
august;Taylor Swift;1;2020;7;24;7324;607;90
august;Taylor Swift;1;2020;7;24;7324;607;90
Te Felicito;Shakira, Rauw Alejandro;2;2022;4;21;4796;606;174
Te Felicito;Shakira, Rauw Alejandro;2;2022;4;21;4796;606;174
Feliz Cumplea??os Fe;Feid;1;2022;8;19;3430;602;95
Feliz Cumplea??os Fe;Feid;1;2022;8;19;3430;602;95
Until I Found You (with Em Beihold) - Em Beihold Version;Em Beihold, Stephen Sanchez;2;2022;4;22;2790;601;101
Until I Found You (with Em Beihold) - Em Beihold Version;Em Beihold, Stephen Sanchez;2;2022;4;22;2790;601;101
Softcore;The Neighbourhood;1;2018;3;9;3947;600;94
Softcore;The Neighbourhood;1;2018;3;9;3947;600;94
CUFF IT;Beyonc?;1;2022;7;29;7842;596;115
CUFF IT;Beyonc?;1;2022;7;29;7842;596;115
Mi??n;Tini, Maria Becerra;2;2021;4;29;3406;596;92
Fair Trade (with Travis Scott);Drake, Travis Scott;2;2021;9;3;5403;594;168
Knife Talk (with 21 Savage ft. Project Pat);Drake, Project Pat, 21 Savage;3;2021;9;3;5199;594;146
Knife Talk (with 21 Savage ft. Project Pat);Drake, Project Pat, 21 Savage;3;2021;9;3;5199;594;146
Only Love Can Hurt Like This;Paloma Faith;1;2014;1;1;5148;589;91
Yandel 150;Yandel, Feid;2;2022;12;20;3618;586;168
Yandel 150;Yandel, Feid;2;2022;12;20;3618;586;168
All Too Well (10 Minute Version) (Taylor s Version) (From The Vault);Taylor Swift;1;2021;11;12;4635;584;93
All Too Well (10 Minute Version) (Taylor s Version) (From The Vault);Taylor Swift;1;2021;11;12;4635;584;93
Toxic;BoyWithUke;1;2021;9;10;1795;583;180
Toxic;BoyWithUke;1;2021;9;10;1795;583;180
House Of Memories;Panic! At The Disco;1;2016;1;15;2948;583;110
California Love - Original Version (Explicit);Dr. Dre, 2Pac, Roger;3;1995;12;28;18773;579;92
Mon Amour - Remix;Aitana, zzoilo;2;2020;9;21;3221;578;116
Mon Amour - Remix;Aitana, zzoilo;2;2020;9;21;3221;578;116
Rich Flex;Drake, 21 Savage;2;2022;11;4;4657;574;153
Rich Flex;Drake, 21 Savage;2;2022;11;4;4657;574;153
Angels Like You;Miley Cyrus;1;2020;11;27;3372;571;122
Atlantis;Seafret;1;2015;4;22;3045;571;166
Angels Like You;Miley Cyrus;1;2020;11;27;3372;571;122
Atlantis;Seafret;1;2015;4;22;3045;571;166
Don t Be Shy;Ti??sto, Kar;2;2021;8;1;6026;567;120
Don t Be Shy;Ti??sto, Kar;2;2021;8;1;6026;567;120
Still Don t Know My Name;Labrinth;1;2019;10;4;6332;564;88
family ties (with Kendrick Lamar);Kendrick Lamar, Baby Keem;2;2021;8;27;6308;560;134
WAIT FOR U (feat. Drake & Tems);Drake, Future, Tems;3;2022;4;27;5491;557;83
WAIT FOR U (feat. Drake & Tems);Drake, Future, Tems;3;2022;4;27;5491;557;83
Formula;Labrinth;1;2019;10;4;3444;555;145
La Bebe - Remix;Peso Pluma, Yng Lvcas;2;2023;3;17;2953;554;170
La Bebe - Remix;Peso Pluma, Yng Lvcas;2;2023;3;17;2953;554;170
La Bebe - Remix;Peso Pluma, Yng Lvcas;2;2023;3;17;2953;554;170
La Bebe - Remix;Peso Pluma, Yng Lvcas;2;2023;3;17;2953;554;170
Pink Venom;BLACKPINK;1;2022;8;19;1963;551;90
Pink Venom;BLACKPINK;1;2022;8;19;1963;551;90
Envolver;Anitta;1;2021;11;11;4673;546;92
Love Nwantiti - Remix;Ckay, AX EL, Dj Yo!;3;2019;8;30;2696;541;120
Es un Secreto;Plan B;1;2010;7;20;492;541;95
Love Nwantiti - Remix;Ckay, AX EL, Dj Yo!;3;2019;8;30;2696;541;120
Es un Secreto;Plan B;1;2010;7;20;492;541;95
One Right Now (with The Weeknd);The Weeknd, Post Malone;2;2021;11;5;4771;540;97
One Right Now (with The Weeknd);The Weeknd, Post Malone;2;2021;11;5;4771;540;97
La Jumpa;Arcangel, Bad Bunny;2;2022;11;30;3794;538;123
La Jumpa;Arcangel, Bad Bunny;2;2022;11;30;3794;538;123
Escapism.;RAYE, 070 Shake;2;2022;10;12;5129;532;96
Escapism.;RAYE, 070 Shake;2;2022;10;12;5129;532;96
Meet Me At Our Spot;THE ANXIETY, Willow, Tyler Cole;3;2020;3;13;6734;531;95
Meet Me At Our Spot;THE ANXIETY, Willow, Tyler Cole;3;2020;3;13;6734;531;95
AM Remix;J Balvin, Nio Garcia, Bad Bunny;3;2021;6;24;6556;529;172
Yo Voy (feat. Daddy Yankee);Zion & Lennox;1;2004;5;4;2954;527;95
Feliz Navidad;Jos?? Felic;1;1970;11;1;3788;520;148
Feliz Navidad;Jos?? Felic;1;1970;11;1;3788;520;148
Die For You - Remix;Ariana Grande, The Weeknd;2;2023;2;24;3408;519;67
Die For You - Remix;Ariana Grande, The Weeknd;2;2023;2;24;3408;519;67
Get Into It (Yuh);Doja Cat;1;2021;6;25;4999;517;92
Sobrio;Maluma;1;2021;7;8;3506;514;178
Tacones Rojos;Sebastian Yatra;1;2021;10;22;3047;511;123
Tacones Rojos;Sebastian Yatra;1;2021;10;22;3047;511;123
Sky;Playboi Carti;1;2020;12;25;3297;507;140
un x100to;Bad Bunny, Grupo Frontera;2;2023;4;17;2876;506;83
un x100to;Bad Bunny, Grupo Frontera;2;2023;4;17;2876;506;83
un x100to;Bad Bunny, Grupo Frontera;2;2023;4;17;2876;506;83
un x100to;Bad Bunny, Grupo Frontera;2;2023;4;17;2876;506;83
Made You Look;Meghan Trainor;1;2022;10;21;3956;503;145
Made You Look;Meghan Trainor;1;2022;10;21;3956;503;145
Life Goes On;Oliver Tree;1;2020;7;17;2868;502;80
Life Goes On;Oliver Tree;1;2020;7;17;2868;502;80
Light Switch;Charlie Puth;1;2022;1;19;4049;500;184
Ain t Shit;Doja Cat;1;2021;6;25;3436;500;124
Swim;Chase Atlantic;1;2017;10;4;2742;499;120
Cupid - Twin Ver.;Fifty Fifty;1;2023;2;24;2942;497;120
Miss You;Robin Schulz, Oliver Tree;2;2022;8;5;5730;497;145
Miss You;Robin Schulz, Oliver Tree;2;2022;8;5;5730;497;145
Cupid - Twin Ver.;Fifty Fifty;1;2023;2;24;2942;497;120
Boyfriend;Dove Cameron;1;2022;2;11;3766;496;180
Way 2 Sexy (with Future & Young Thug);Drake, Future, Young Thug;3;2021;9;3;5481;490;136
Lavender Haze;Taylor Swift;1;2022;10;21;3763;488;97
Lavender Haze;Taylor Swift;1;2022;10;21;3763;488;97
Underneath the Tree;Kelly Clarkson;1;2013;10;25;6596;485;160
Underneath the Tree;Kelly Clarkson;1;2013;10;25;6596;485;160
Do They Know It s Christmas? - 1984 Version;Band Aid;1;1984;11;25;14169;482;115
Doja;Central Cee;1;2022;7;20;4169;482;140
Shut Down;BLACKPINK;1;2022;9;16;1524;482;110
Do They Know It s Christmas? - 1984 Version;Band Aid;1;1984;11;25;14169;482;115
Doja;Central Cee;1;2022;7;20;4169;482;140
Shut Down;BLACKPINK;1;2022;9;16;1524;482;110
Sex, Drugs, Etc.;Beach Weather;1;2016;11;4;3006;481;144
Sex, Drugs, Etc.;Beach Weather;1;2016;11;4;3006;481;144
La Corriente;Tony Dize, Bad Bunny;2;2022;5;6;1796;480;196
LA INOCENTE;Feid, Mora;2;2022;4;1;2598;477;92
LA INOCENTE;Feid, Mora;2;2022;4;1;2598;477;92
Holly Jolly Christmas;Michael Bubl?;1;2011;10;14;7655;476;151
Holly Jolly Christmas;Michael Bubl?;1;2011;10;14;7655;476;151
Let It Snow! Let It Snow! Let It Snow!;Frank Sinatra, B. Swanson Quartet;2;1950;1;1;10585;473;143
Let It Snow! Let It Snow! Let It Snow!;Frank Sinatra, B. Swanson Quartet;2;1950;1;1;10585;473;143
LOKERA;Brray, Rauw Alejandro, Lyanno;3;2022;7;25;3301;472;102
LOKERA;Brray, Rauw Alejandro, Lyanno;3;2022;7;25;3301;472;102
Mount Everest;Labrinth;1;2019;6;21;5443;468;89
C??;Rauw Alejandro;1;2021;6;25;2636;466;102
Lovers Rock;TV Girl;1;2014;6;5;6339;466;105
Oh My God;Adele;1;2021;11;19;4431;466;88
Lovers Rock;TV Girl;1;2014;6;5;6339;466;105
Oh My God;Adele;1;2021;11;19;4431;466;88
AMG;Natanael Cano, Gabito Ballesteros, Peso Pluma;3;2022;11;24;995;464;136
AMG;Natanael Cano, Gabito Ballesteros, Peso Pluma;3;2022;11;24;995;464;136
Ferrari;James Hype, Miggy Dela Rosa;2;2022;3;14;7758;463;125
Ferrari;James Hype, Miggy Dela Rosa;2;2022;3;14;7758;463;125
Despu??s de la P;Bad Bunny;1;2022;5;6;2229;462;78
NEW MAGIC WAND;Tyler, The Creator;2;2019;5;16;4708;461;140
Happy Xmas (War Is Over);John Lennon, The Harlem Community Choir, The Plastic Ono Band, Yoko Ono;4;1971;12;1;10829;460;147
Happy Xmas (War Is Over);John Lennon, The Harlem Community Choir, The Plastic Ono Band, Yoko Ono;4;1971;12;1;10829;460;147
Normal;Feid;1;2022;7;8;2461;459;170
Normal;Feid;1;2022;7;8;2461;459;170
Just Wanna Rock;Lil Uzi Vert;1;2022;10;17;3995;457;150
Just Wanna Rock;Lil Uzi Vert;1;2022;10;17;3995;457;150
Something in the Orange;Zach Bryan;1;2022;4;22;3282;450;110
Something in the Orange;Zach Bryan;1;2022;4;22;3282;450;110
Murder In My Mind;Kordhell;1;2022;1;21;2459;449;120
Murder In My Mind;Kordhell;1;2022;1;21;2459;449;120
Vegas (From the Original Motion Picture Soundtrack ELVIS);Doja Cat;1;2022;5;6;4576;449;160
Me and Your Mama;Childish Gambino;1;2016;11;10;8775;446;118
Calm Down;R??;1;2022;2;9;4013;446;107
Let It Snow! Let It Snow! Let It Snow!;Dean Martin;1;1959;11;16;6512;446;134
Calm Down;R??;1;2022;2;9;4013;446;107
Let It Snow! Let It Snow! Let It Snow!;Dean Martin;1;1959;11;16;6512;446;134
Nost??l;Chris Brown, Rvssian, Rauw Alejandro;3;2021;9;8;2780;437;98
Nost??l;Chris Brown, Rvssian, Rauw Alejandro;3;2021;9;8;2780;437;98
PRC;Natanael Cano, Peso Pluma;2;2023;1;23;961;436;138
PRC;Natanael Cano, Peso Pluma;2;2023;1;23;961;436;138
We Don t Talk About Bruno;Adassa, Mauro Castillo, Stephanie Beatriz, Encanto - Cast, Rhenzy Feliz, Diane Guerrero, Carolina Gaitan;7;2021;11;19;2785;433;206
Midnight Rain;Taylor Swift;1;2022;10;21;2612;433;140
We Don t Talk About Bruno;Adassa, Mauro Castillo, Stephanie Beatriz, Encanto - Cast, Rhenzy Feliz, Diane Guerrero, Carolina Gaitan;7;2021;11;19;2785;433;206
Midnight Rain;Taylor Swift;1;2022;10;21;2612;433;140
Take My Breath;The Weeknd;1;2021;8;6;6392;433;121
OMG;NewJeans;1;2023;1;2;1783;431;127
OMG;NewJeans;1;2023;1;2;1783;431;127
Last Night;Morgan Wallen;1;2023;1;31;2420;430;204
Driving Home for Christmas - 2019 Remaster;Chris Rea;1;1986;1;1;888;430;180
Last Night;Morgan Wallen;1;2023;1;31;2420;430;204
Driving Home for Christmas - 2019 Remaster;Chris Rea;1;1986;1;1;888;430;180
Super Freaky Girl;Nicki Minaj;1;2022;8;12;4827;429;133
Super Freaky Girl;Nicki Minaj;1;2022;8;12;4827;429;133
OUT OUT (feat. Charli XCX & Saweetie);Charli XCX, Jax Jones, Joel Corry, Saweetie;4;2021;8;13;6890;427;124
All For Us - from the HBO Original Series Euphoria;Labrinth, Zendaya;2;2019;8;4;5342;426;141
Thunder;Prezioso, Gabry Ponte, LUM!X;3;2021;5;7;4846;423;101
Better Days (NEIKED x Mae Muller x Polo G);NEIKED, Mae Muller, Polo G;3;2021;9;24;4091;421;110
Notion;The Rare Occasions;1;2016;8;5;2393;421;160
Fuera del mercado;Danny Ocean;1;2022;2;17;2499;421;92
Better Days (NEIKED x Mae Muller x Polo G);NEIKED, Mae Muller, Polo G;3;2021;9;24;4091;421;110
Un Ratito;Bad Bunny;1;2022;5;6;1112;417;93
The Color Violet;Tory Lanez;1;2021;12;10;2585;416;105
The Color Violet;Tory Lanez;1;2021;12;10;2585;416;105
Happier Than Ever - Edit;Billie Eilish;1;2021;7;28;1959;413;81
Those Eyes;New West;1;2019;5;10;1507;412;120
Those Eyes;New West;1;2019;5;10;1507;412;120
Angel Baby;Troye Sivan;1;2021;9;9;1959;409;145
Shut up My Moms Calling;Hotel Ugly;1;2020;2;10;1788;405;139
Karma;Taylor Swift;1;2022;10;21;3818;405;90
Sleigh Ride;The Ronettes;1;1963;11;22;10114;405;92
No Se Va;Grupo Frontera;1;2022;4;28;924;405;173
Shut up My Moms Calling;Hotel Ugly;1;2020;2;10;1788;405;139
Karma;Taylor Swift;1;2022;10;21;3818;405;90
Sleigh Ride;The Ronettes;1;1963;11;22;10114;405;92
No Se Va;Grupo Frontera;1;2022;4;28;924;405;173
Wonderful Christmastime - Edited Version / Remastered 2011;Paul McCartney;1;1979;11;16;1685;404;95
Wonderful Christmastime - Edited Version / Remastered 2011;Paul McCartney;1;1979;11;16;1685;404;95
?????????????????????;Fujii Kaze;1;2020;5;20;685;403;158
?????????????????????;Fujii Kaze;1;2020;5;20;685;403;158
Un Coco;Bad Bunny;1;2022;5;6;1029;403;152
Superhero (Heroes & Villains) [with Future & Chris Brown];Future, Chris Brown, Metro Boomin;3;2022;12;2;2959;401;117
Superhero (Heroes & Villains) [with Future & Chris Brown];Future, Chris Brown, Metro Boomin;3;2022;12;2;2959;401;117
Snooze;SZA;1;2022;12;9;2839;400;143
Snooze;SZA;1;2022;12;9;2839;400;143
Ditto;NewJeans;1;2022;12;19;1154;398;134
Ditto;NewJeans;1;2022;12;19;1154;398;134
White Christmas;Bing Crosby, John Scott Trotter & His Orchestra, Ken Darby Singers;3;1942;1;1;11940;396;96
A Holly Jolly Christmas - Single Version;Burl Ives;1;1952;1;1;7930;396;140
White Christmas;Bing Crosby, John Scott Trotter & His Orchestra, Ken Darby Singers;3;1942;1;1;11940;396;96
A Holly Jolly Christmas - Single Version;Burl Ives;1;1952;1;1;7930;396;140
Jordan;Ryan Castro;1;2021;4;30;2844;394;180
Medallo;Justin Quiles, Lenny Tav??rez, BL;3;2021;10;27;2780;393;90
Medallo;Justin Quiles, Lenny Tav??rez, BL;3;2021;10;27;2780;393;90
Is There Someone Else?;The Weeknd;1;2022;1;7;2881;391;135
Is There Someone Else?;The Weeknd;1;2022;1;7;2881;391;135
The Christmas Song (Merry Christmas To You) - Remastered 1999;Nat King Cole;1;1946;11;1;11500;390;139
The Christmas Song (Merry Christmas To You) - Remastered 1999;Nat King Cole;1;1946;11;1;11500;390;139
Daylight;David Kushner;1;2023;4;14;3528;388;130
Daylight;David Kushner;1;2023;4;14;3528;388;130
Mary On A Cross;Ghost;1;2019;9;13;2668;387;130
Belly Dancer;BYOR, Imanbek;2;2022;2;18;5115;384;122
Smokin Out The Window;Bruno Mars, Anderson .Paak, Silk Sonic;3;2021;11;5;4963;384;82
Smokin Out The Window;Bruno Mars, Anderson .Paak, Silk Sonic;3;2021;11;5;4963;384;82
In The Stars;Benson Boone;1;2022;4;29;2224;382;78
Monoton?;Ozuna, Shakira;2;2022;10;19;3645;381;132
Punto G;Quevedo;1;2022;11;4;1985;381;92
Monoton?;Ozuna, Shakira;2;2022;10;19;3645;381;132
Punto G;Quevedo;1;2022;11;4;1985;381;92
Selfish;PnB Rock;1;2016;6;23;2468;380;102
Praise God;Kanye West;1;2021;8;29;4651;376;118
LA FAMA (with The Weeknd);The Weeknd, ROSAL?;2;2021;11;11;4640;375;136
Tiago PZK: Bzrp Music Sessions, Vol. 48;Bizarrap, Tiago pzk;2;2021;12;29;1678;374;96
Tiago PZK: Bzrp Music Sessions, Vol. 48;Bizarrap, Tiago pzk;2;2021;12;29;1678;374;96
People;Libianca;1;2022;12;2;3506;373;198
People;Libianca;1;2022;12;2;3506;373;198
Bloody Mary;Lady Gaga;1;2011;1;1;3909;372;100
Bloody Mary;Lady Gaga;1;2011;1;1;3909;372;100
Alien Blues;Vundabar;1;2015;7;24;1930;370;82
Something In The Way - Remastered 2021;Nirvana;1;1991;9;24;9514;369;106
You Proof;Morgan Wallen;1;2022;5;13;2128;368;120
You Proof;Morgan Wallen;1;2022;5;13;2128;368;120
"""Kesariya (From """"Brahmastra"""")""";Pritam, Arijit Singh, Amitabh Bhattacharya;3;2022;7;17;292;367;94
Bebe Dame;Fuerza Regida, Grupo Frontera;2;2022;12;16;849;367;157
"""Kesariya (From """"Brahmastra"""")""";Pritam, Arijit Singh, Amitabh Bhattacharya;3;2022;7;17;292;367;94
Bebe Dame;Fuerza Regida, Grupo Frontera;2;2022;12;16;849;367;157
Matilda;Harry Styles;1;2022;5;20;3218;366;114
Acapulco;Jason Derulo;1;2021;9;1;3098;363;122
Like Crazy;Jimin;1;2023;3;24;596;363;120
Hype Boy;NewJeans;1;2022;8;1;892;363;100
Like Crazy;Jimin;1;2023;3;24;596;363;120
Hype Boy;NewJeans;1;2022;8;1;892;363;100
Vista Al Mar;Quevedo;1;2022;9;8;1769;362;105
Vista Al Mar;Quevedo;1;2022;9;8;1769;362;105
METAMORPHOSIS;INTERWORLD;1;2021;11;25;1561;358;175
BESO;Rauw Alejandro, ROSAL?;2;2023;3;24;4053;358;95
METAMORPHOSIS;INTERWORLD;1;2021;11;25;1561;358;175
BESO;Rauw Alejandro, ROSAL?;2;2023;3;24;4053;358;95
I Hate U;SZA;1;2021;12;3;4094;357;107
I Hate U;SZA;1;2021;12;3;4094;357;107
Ley Seca;Anuel Aa, Jhay Cortez;2;2021;9;2;2012;355;105
BREAK MY SOUL;Beyonc?;1;2022;6;21;9724;355;115
Sad Girlz Luv Money Remix (feat. Kali Uchis);Kali Uchis, Amaarae, Moliy;3;2021;9;16;3643;354;110
El Azul;Junior H, Peso Pluma;2;2023;2;10;692;354;144
Sad Girlz Luv Money Remix (feat. Kali Uchis);Kali Uchis, Amaarae, Moliy;3;2021;9;16;3643;354;110
El Azul;Junior H, Peso Pluma;2;2023;2;10;692;354;144
Merry Christmas Everyone;Shakin  Stevens;1;1984;1;1;1087;352;101
Merry Christmas Everyone;Shakin  Stevens;1;1984;1;1;1087;352;101
Fingers Crossed;Lauren Spencer Smith, Lauren Spencer Smith, Lauren Spencer Smith;3;2022;1;5;2235;350;109
You Belong With Me (Taylor???s Ve;Taylor Swift;1;2021;4;9;2619;350;130
Fingers Crossed;Lauren Spencer Smith, Lauren Spencer Smith, Lauren Spencer Smith;3;2022;1;5;2235;350;109
You Belong With Me (Taylor???s Ve;Taylor Swift;1;2021;4;9;2619;350;130
X ??LTIMA;Daddy Yankee, Bad Bunny;2;2022;3;25;2697;350;90
You re On Your Own, Kid;Taylor Swift;1;2022;10;21;2537;349;120
You re On Your Own, Kid;Taylor Swift;1;2022;10;21;2537;349;120
this is what falling in love feels like;JVKE;1;2021;9;3;2005;346;129
The Feels;TWICE;1;2021;10;1;1150;346;120
CHORRITO PA LAS ANIMAS;Feid;1;2022;12;2;2321;345;96
CHORRITO PA LAS ANIMAS;Feid;1;2022;12;2;2321;345;96
Andrea;Buscabulla, Bad Bunny;2;2022;5;6;1195;344;103
she s all i wanna be;Tate McRae;1;2022;2;4;2711;343;160
Nonsense;Sabrina Carpenter;1;2022;7;15;2346;343;139
Super Gremlin;Kodak Black;1;2021;10;30;2551;343;73
Nonsense;Sabrina Carpenter;1;2022;7;15;2346;343;139
Super Gremlin;Kodak Black;1;2021;10;30;2551;343;73
Out of Time;The Weeknd;1;2022;1;7;3711;340;93
Out of Time;The Weeknd;1;2022;1;7;3711;340;93
TV;Billie Eilish;1;2022;7;21;3009;339;141
TV;Billie Eilish;1;2022;7;21;3009;339;141
Demasiadas Mujeres;C. Tangana;1;2020;10;8;2226;339;126
Dos Mil 16;Bad Bunny;1;2022;5;6;892;338;130
Music For a Sushi Restaurant;Harry Styles;1;2022;5;20;4449;335;107
Players;Coi Leray;1;2022;11;30;4096;335;105
Classy 101;Feid, Young Miko;2;2023;3;31;2610;335;100
Players;Coi Leray;1;2022;11;30;4096;335;105
Classy 101;Feid, Young Miko;2;2023;3;31;2610;335;100
STAR WALKIN  (League of Legends Worlds Anthem);Lil Nas X;1;2022;9;22;2616;333;142
STAR WALKIN  (League of Legends Worlds Anthem);Lil Nas X;1;2022;9;22;2616;333;142
La Llevo Al Cielo (Ft. ??engo F;Nengo Flow, Anuel Aa, Chris Jedi, Chencho Corleone;4;2022;5;20;3559;333;170
c??mo dormi;Rels B;1;2022;8;4;1452;332;126
Run BTS;BTS;1;2022;6;10;736;331;77
Por las Noches;Peso Pluma;1;2021;6;11;457;330;92
Por las Noches;Peso Pluma;1;2021;6;11;457;330;92
Bejeweled;Taylor Swift;1;2022;10;21;2699;328;164
Bejeweled;Taylor Swift;1;2022;10;21;2699;328;164
Sacrifice;The Weeknd;1;2022;1;7;4440;327;122
Sacrifice;The Weeknd;1;2022;1;7;4440;327;122
Excuses;Intense, AP Dhillon, Gurinder Gill;3;2020;7;24;272;327;95
0;Ti??sto, Tate M;2;2022;11;1;4942;326;120
0;Ti??sto, Tate M;2;2022;11;1;4942;326;120
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack];BTS, Jung Kook, FIFA Sound;3;2022;11;20;889;323;115
Snow On The Beach (feat. Lana Del Rey);Taylor Swift, Lana Del Rey;2;2022;10;21;2415;323;110
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack];BTS, Jung Kook, FIFA Sound;3;2022;11;20;889;323;115
Snow On The Beach (feat. Lana Del Rey);Taylor Swift, Lana Del Rey;2;2022;10;21;2415;323;110
JGL;Luis R Conriquez, La Adictiva;2;2022;2;18;782;323;113
GAT??;Maldy, Karol G;2;2022;8;25;3328;322;93
GAT??;Maldy, Karol G;2;2022;8;25;3328;322;93
Maan Meri Jaan;King;1;2022;10;12;288;320;96
Maan Meri Jaan;King;1;2022;10;12;288;320;96
Otro Atardecer;Bad Bunny, The Mar??;2;2022;5;6;1681;320;108
Ya No Somos Ni Seremos;Christian Nodal;1;2022;2;18;866;320;140
Christmas Tree;V;1;2021;12;24;509;318;139
Maroon;Taylor Swift;1;2022;10;21;2304;318;108
Maroon;Taylor Swift;1;2022;10;21;2304;318;108
La Zona;Bad Bunny;1;2020;2;29;1188;313;94
Yo No Soy Celoso;Bad Bunny;1;2022;5;6;1179;313;142
pushin P (feat. Young Thug);Young Thug, Future, Gunna;3;2022;1;7;3517;311;78
Satellite;Harry Styles;1;2022;5;20;3291;311;139
pushin P (feat. Young Thug);Young Thug, Future, Gunna;3;2022;1;7;3517;311;78
Shirt;SZA;1;2022;10;28;3469;310;120
Shirt;SZA;1;2022;10;28;3469;310;120
Besos Moja2;Wisin & Yandel, ROSAL?;2;2022;9;29;2460;309;94
Besos Moja2;Wisin & Yandel, ROSAL?;2;2022;9;29;2460;309;94
ULTRA SOLO;Polima WestCoast, Pailita;2;2022;2;14;1367;308;110
